jugador_id,nombre_jugador
1,Mikkel Damsgaard
2,Mark Flekken
3,Gabriel Magalhães
4,Mads Roerslev
5,Nathan Collins
6,Keane Lewis-Potter
7,Sepp van den Berg
8,Yehor Yarmoliuk
9,Jurriën Timber
10,Ethan Nwaneri
11,William Saliba
12,Martin Ødegaard
13,Thomas Partey
14,Gabriel Jesus
15,Riccardo Calafiori
16,Christian Nørgaard
17,Yoane Wissa
18,David Raya
19,Gabriel Martinelli
20,Mikel Merino
21,Bryan Mbeumo
22,Vitaly Janelt
23,Paris Maghoma
24,Kevin Schade
25,Kim Ji-Soo
26,Mathias Jensen
27,Myles Lewis-Skelly
28,Leandro Trossard
29,Declan Rice
30,Jorginho
31,Oleksandr Zinchenko
32,Bilal El Khannouss
33,Jakub Stolarczyk
34,Ross Barkley
35,Jordan Ayew
36,Youri Tielemans
37,Boubakary Soumaré
38,Conor Coady
39,Harry Winks
40,James Justin
41,Tyrone Mings
42,John McGinn
43,Boubacar Kamara
44,Matty Cash
45,Ezri Konsa
46,Leon Bailey
47,Luke Thomas
48,Jannik Vestergaard
49,Stephy Mavididi
50,Jamie Vardy
51,Lucas Digne
52,Emiliano Martínez
53,Ollie Watkins
54,Jacob Ramsey
55,Wout Faes
56,Emiliano Buendía
57,Ian Maatsen
58,Patson Daka
59,Caleb Okoli
60,Facundo Buonanotte
61,Bobby De Cordova-Reid
62,Idrissa Gueye
63,Jordan Pickford
64,Dango Ouattara
65,Armando Broja
66,Ryan Christie
67,Jesper Lindstrøm
68,Milos Kerkez
69,Dean Huijsen
70,Ashley Young
71,Orel Mangala
72,James Hill
73,Vitalii Mykolenko
74,Abdoulaye Doucouré
75,Justin Kluivert
76,Evanilson
77,Lewis Cook
78,Jarrad Branthwaite
79,Illia Zabarnyi
80,Iliman Ndiaye
81,Antoine Semenyo
82,James Tarkowski
83,Mark Travers
84,Dominic Calvert-Lewin
85,Nathan Patterson
86,Harrison Armstrong
87,Enes Ünal
88,Tyler Adams
89,David Brooks
90,Beto
91,Philip Billing
92,Jan Paul van Hecke
93,Joël Veltman
94,Igor Julio
95,Pervis Estupiñán
96,Simon Adingra
97,Bart Verbruggen
98,Matt O'Riley
99,Yasin Ayari
100,Brajan Gruda
101,João Pedro
102,Carlos Baleba
103,Georginio Rutter
104,Yankuba Minteh
105,Kaoru Mitoma
106,Adam Webster
107,Cole Palmer
108,Robert Sánchez
109,Jefferson Lerma
110,Moisés Caicedo
111,Pedro Neto
112,Josh Acheampong
113,Levi Colwill
114,Marc Cucurella
115,Chris Richards
116,Ismaïla Sarr
117,Cheick Doucouré
118,Jean-Philippe Mateta
119,Nicolas Jackson
120,Daniel Muñoz
121,Maxence Lacroix
122,Marc Guéhi
123,Malo Gusto
124,Tyrick Mitchell
125,Enzo Fernández
126,Jadon Sancho
127,Dean Henderson
128,Eberechi Eze
129,Daichi Kamada
130,Marc Guiu
131,Noni Madueke
132,Eddie Nketiah
133,Niclas Füllkrug
134,Kevin De Bruyne
135,Stefan Ortega
136,Vladimír Coufal
137,Manuel Akanji
138,Nathan Aké
139,Phil Foden
140,Josko Gvardiol
141,Savinho
142,Rico Lewis
143,Alphonse Areola
144,Jean-Clair Todibo
145,Lucas Paquetá
146,Tomás Soucek
147,Mohammed Kudus
148,Mateo Kovacic
149,Edson Álvarez
150,Bernardo Silva
151,Erling Haaland
152,Maximilian Kilman
153,Aaron Wan-Bissaka
154,Crysencio Summerville
155,Konstantinos Mavropanos
156,Ilkay Gündogan
157,Kyle Walker
158,Luis Guilherme
159,James McAtee
160,Jack Grealish
161,Danny Ings
162,Tyler Dibling
163,Aaron Ramsdale
164,Paul Onuachu
165,Kamaldeen Sulemana
166,Nathan Wood
167,Kyle Walker-Peters
168,Jan Bednarek
169,Joe Aribo
170,Lesley Ugochukwu
171,James Bree
172,Taylor Harwood-Bellis
173,Charlie Taylor
174,Yukinari Sugawara
175,Adam Armstrong
176,Cameron Archer
177,Adam Lallana
178,Dominic Solanke
179,Radu Dragusin
180,Timo Werner
181,Pape Matar Sarr
182,Lucas Bergvall
183,Archie Gray
184,Tino Livramento
185,Jacob Murphy
186,Joelinton
187,Lewis Hall
188,Dan Burn
189,Sven Botman
190,Dejan Kulusevski
191,Anthony Gordon
192,Djed Spence
193,Brandon Austin
194,Pedro Porro
195,Brennan Johnson
196,Alexander Isak
197,Bruno Guimarães
198,Sandro Tonali
199,Martin Dúbravka
200,Sergio Reguilón
201,Son Heung-Min
202,Yves Bissouma
203,James Maddison
204,Harvey Barnes
205,Joe Willock
206,Sean Longstaff
207,Lloyd Kelly
208,Tom Cairney
209,Joachim Andersen
210,Raúl Jiménez
211,Leif Davis
212,Jacob Greaves
213,Timothy Castagne
214,Sasa Lukic
215,Bernd Leno
216,Calvin Bassey
217,Antonee Robinson
218,Issa Diop
219,Alex Iwobi
220,Harry Wilson
221,Sam Morsy
222,Liam Delap
223,Nathan Broadhead
224,Sam Szmodics
225,Ben Johnson
226,Jens Cajuste
227,Christian Walton
228,Dara O'Shea
229,Luke Woolfenden
230,Emile Smith Rowe
231,Andreas Pereira
232,Rodrigo Muniz
233,Jack Taylor
234,Kalvin Phillips
235,Adama Traoré
236,Jack Clarke
237,Wes Burns
238,Ali Al Hamadi
239,Curtis Jones
240,Alisson Becker
241,Matthijs de Ligt
242,Luis Díaz
243,Ibrahima Konaté
244,Kobbie Mainoo
245,Amad Diallo
246,Alexis Mac Allister
247,Cody Gakpo
248,Andy Robertson
249,Manuel Ugarte
250,Noussair Mazraoui
251,Harry Maguire
252,Lisandro Martínez
253,Diogo Dalot
254,Rasmus Højlund
255,Bruno Fernandes
256,Trent Alexander-Arnold
257,Mohamed Salah
258,Virgil van Dijk
259,Ryan Gravenberch
260,André Onana
261,Darwin Núñez
262,Diogo Jota
263,Alejandro Garnacho
264,Leny Yoro
265,Harvey Elliott
266,Conor Bradley
267,Joshua Zirkzee
268,Nicolás Domínguez
269,Matz Sels
270,Callum Hudson-Odoi
271,Pedro Lima
272,Chris Wood
273,Neco Williams
274,Gonçalo Guedes
275,Murillo
276,Nikola Milenkovic
277,Santiago Bueno
278,Anthony Elanga
279,Elliot Anderson
280,Morgan Gibbs-White
281,João Gomes
282,Hwang Hee-Chan
283,Rodrigo Gomes
284,José Sá
285,Matt Doherty
286,Rayan Aït-Nouri
287,Ola Aina
288,Tommy Doyle
289,Jørgen Strand Larsen
290,Mario Lemina
291,Jean-Ricner Bellegarde
292,Morato
293,Jota Silva
294,Ryan Yates
295,Pablo Sarabia
296,Carlos Forbs
297,Taiwo Awoniyi
298,James Ward-Prowse
299,Matheus Nunes
300,Rico Henry
301,Roméo Lavia
302,Reece James
303,Tosin Adarabioyo
304,João Félix
305,Daniel Jebbison
306,Dominik Szoboszlai
307,Kostas Tsimikas
308,Álex Moreno
309,Lukasz Fabianski
310,Guido Rodríguez
311,Carlos Soler
312,Emerson
313,Andy Irving
314,Aaron Cresswell
315,Ollie Scarles
316,Josh King
317,Antonín Kinsky
318,Raheem Sterling
319,Kai Havertz
320,Kieran Tierney
321,Richarlison
322,Amadou Onana
323,Morgan Rogers
324,Jack Harrison
325,Jake O'Brien
326,Victor Kristiansen
327,Will Hughes
328,Oliver Skipp
329,Kasey McAteer
330,Justin Devenny
331,Nathaniel Clyne
332,Emmanuel Agbadou
333,André
334,Matheus Cunha
335,Nélson Semedo
336,Miguel Almirón
337,William Osula
338,Lewis Miley
339,Kieran Trippier
340,Omari Hutchinson
341,Lewis Dunk
342,Danny Welbeck
343,George Hirst
344,Jakub Moder
345,Mateus Fernandes
346,Antony
347,Toby Collyer
348,Will Smallbone
349,Flynn Downes
350,Christian Eriksen
351,Lamare Bogarde
352,Jhon Durán
353,Federico Chiesa
354,Sander Berge
355,Kepa Arrizabalaga
356,Fabian Schär
357,Ben Winterburn
358,Remy Rees-Dottin
359,Lewis Orford
360,Jeffrey Schlupp
361,Ben Davies
362,Mikey Moore
363,Michael Keane
364,Ederson
365,Ben Godfrey
366,Jérémy Doku
367,Cameron Burgess
368,Rúben Dias
369,Divin Mubama
370,Jaden Philogene
371,Massimo Luongo
372,Axel Tuanzebe
373,Nico O'Reilly
374,Solly March
375,Tariq Lamptey
376,Julio Enciso
377,Diego Gómez
378,Ryan Manning
379,Ramón Sosa
380,Trevoh Chalobah
381,Kiernan Dewsbury-Hall
382,Axel Disasi
383,Tyrique George
384,Marcus Tavernier
385,Zain Silcott-Duberry
386,Jack Hinshelwood
387,James Garner
388,Conor Townsend
389,Wataru Endo
390,Jayden Danns
391,Abdukodir Khusanov
392,Omar Marmoush
393,John Stones
394,Christopher Nkunku
395,Alex McCarthy
396,Ryan Fraser
397,Donyell Malen
398,Romain Esse
399,Ben Mee
400,Tyrell Malacia
401,Rodrigo Bentancur
402,Will Lankshear
403,Woyo Coulibaly
404,Mads Hermansen
405,Tim Iroegbunam
406,Welington
407,Albert Grønbæk
408,Arijanet Muric
409,Jack Stephens
410,Ryan Sessegnon
411,Danilo
412,Willy Boly
413,Evan Ferguson
414,Ibrahim Sangaré
415,Andrés García
416,Toti Gomes
417,Kosta Nedeljkovic
418,Hákon Valdimarsson
419,Kristoffer Ajer
420,Michael Kayode
421,Dane Scarlett
422,Fábio Carvalho
423,Adam Wharton
424,Filip Jörgensen
425,Jarrod Bowen
426,Charly Alcaraz
427,Alex Palmer
428,Marcus Rashford
429,Marco Asensio
430,Ben Chilwell
431,Harrison Reed
432,Willian
433,Wilfred Ndidi
434,Nico González
435,Callum Wilson
436,Emil Krafth
437,Alex Scott
438,Luis Sinisterra
439,Ethan Pinnock
440,Marshall Munetsi
441,Jarell Quansah
442,Kevin Danso
443,Casemiro
444,Mathys Tel
445,Patrick Dorgu
446,Guglielmo Vicario
447,Wilson Odobert
448,Chido Obi
449,Yunus Konak
450,Ben White
451,Nasser Djiga
452,Destiny Udogie
453,Armel Bella-Kotchap
454,Mats Wieffer
455,Nick Pope
456,Mathis Amougou
457,Shumaira Mheuka
458,Robin Olsen
459,Jorge Cuenca
460,Victor Lindelöf
461,Wesley Fofana
462,Ricardo Pereira
463,Ayden Heaven
464,Cristian Romero
465,Micky van de Ven
466,Youssef Chermiti
467,Benoît Badiashile
468,Harry Amass
469,Jakub Kiwior
470,Bukayo Saka
471,Mason Mount
472,Boubacar Traoré
473,Adam Smith
474,Marcos Senesi
475,Pau Torres
476,Eiran Cashin
477,Caoimhín Kelleher
478,Oscar Bobb
479,Vitor Reis
480,Matheus França
481,Joel Ward
482,Dwight McNeil
483,Conor Chaplin
484,Kenny Tete
485,Ross Stewart
486,Jeremy Monga
487,Gustavo Nunes
488,Jake Evans
489,Jay Robinson
490,Altay Bayindir
491,Luke Shaw
492,Julio Soler
493,Matt Targett
494,Julián Araujo
495,Carlos Vinícius
496,Nathan Butler-Oyedeji
497,Dan Bentley
498,Tyler Fredricson
499,Harry Toffolo
500,Michael Golding
501,Igor Thiago
502,Martial Godo
503,Séamus Coleman
504,Mateus Mané
505,Joachim Kayi-Sanda
506,Harry Howell
507,Rodri
508,Olabade Aluko
509,Claudio Echeverri
510,Jonny Evans
511,James Milner
512,Tom King
513,Hugo Ekitiké
514,Jeremie Frimpong
515,Adrien Truffert
516,Florian Wirtz
517,Bafodé Diakité
518,Djordje Petrovic
519,Joe Gomez
520,Hamed Traoré
521,Eli Kroupi
522,Marco Bizot
523,Maxim De Cuyper
524,Ferdi Kadioglu
525,Granit Xhaka
526,Noah Sadiki
527,Eliezer Mayenda
528,El Hadji Malick Diouf
529,Nayef Aguerd
530,Dan Ballard
531,Robin Roefs
532,Reinildo Mandava
533,Jenson Seelt
534,Trai Hume
535,Chemsdine Talbi
536,Habib Diarra
537,Omar Alderete
538,Enzo Le Fée
539,Wilson Isidor
540,Chris Rigg
541,Maxime Estève
542,Quilindschy Hartman
543,Josh Cullen
544,Hjalmar Ekdal
545,Josh Laurent
546,Oliver Sonne
547,Lyle Foster
548,Hannibal Mejbri
549,Jaidon Anthony
550,Jacob Bruun Larsen
551,Zian Flemming
552,Loum Tchaouna
553,João Palhinha
554,Marcus Edwards
555,James Trafford
556,David Møller Wolfe
557,Tijjani Reijnders
558,Ki-Jana Hoever
559,Hugo Bueno
560,Fer López
561,Jhon Arias
562,Rayan Cherki
563,Jamie Gittens
564,Estêvão
565,Andrey Santos
566,Viktor Gyökeres
567,Martín Zubimendi
568,Benjamin Sesko
569,Antoni Milambo
570,Dan Ndoye
571,Frank Onyeka
572,Jordan Henderson
573,Igor Jesus
574,Aaron Hickey
575,Ethan Ampadu
576,Ao Tanaka
577,Joël Piroe
578,Anton Stach
579,Jayden Bogle
580,Pascal Struijk
581,Wilfried Gnonto
582,Gabriel Gudmundsson
583,Joe Rodon
584,Daniel James
585,Lucas Perri
586,Brenden Aaronson
587,Lukas Nmecha
588,Ilia Gruev
589,Thierno Barry
590,Freddie Potts
591,Jorrel Hato
592,Max Dowman
593,Cristhian Mosquera
594,Noah Okafor
595,Sam Byram
596,Jackson Tchatchoua
597,Amine Adli
598,Evann Guessand
599,Patrick Roberts
600,Joe Worrall
601,Arnaud Kalimuendo
602,Odsonne Édouard
603,Malick Thiaw
604,Rio Ngumoha
605,Nordi Mukiele
606,Sasa Kalajdzic
607,Yéremy Pino
608,Bradley Burrowes
609,Diego Coppola
353377,Bryan Mbeumo
401168,Mikkel Damsgaard
279379,Gabriel Jesus
238916,Mikel Merino
380706,Gabriel Martinelli
92547,Ross Barkley
318750,Stephy Mavididi
327682,Leon Bailey
384134,Ian Maatsen
295084,David Brooks
424273,Milos Kerkez
456771,Ethan Nwaneri
373525,João Pedro
395692,Cole Palmer
346300,Jadon Sancho
328096,Jean-Philippe Mateta
332403,Eberechi Eze
111372,Vladimír Coufal
315227,Erling Haaland
397821,Savinho
331254,Phil Foden
73084,Kevin De Bruyne
104058,Niclas Füllkrug
143595,Tomás Soucek
407260,Kevin Schade
296240,Yoane Wissa
368512,Keane Lewis-Potter
136459,Dominic Solanke
362352,Pedro Porro
349669,Anthony Gordon
338780,Bruno Guimarães
299254,Alexander Isak
141486,Jacob Murphy
138686,Sam Szmodics
108186,Raúl Jiménez
401254,Liam Delap
340105,Lisandro Martínez
123761,Bruno Fernandes
352825,Cody Gakpo
345319,Alexis Mac Allister
108226,Mohamed Salah
386634,Amad Diallo
332867,Morgan Gibbs-White
413211,Anthony Elanga
73380,Chris Wood
350088,Callum Hudson-Odoi
281049,Taiwo Awoniyi
105172,James Ward-Prowse
329554,Mads Roerslev
101856,Christian Nørgaard
426050,Nicolas Jackson
331579,Justin Kluivert
357073,Antoine Semenyo
128882,Ryan Christie
361330,Reece James
235755,Diogo Jota
301455,Kostas Tsimikas
313542,Carlos Soler
331924,Aaron Wan-Bissaka
136824,Alex Iwobi
306581,Antonee Robinson
319756,Lucas Paquetá
91762,Danny Ings
91909,Son Heung-Min
113994,Leandro Trossard
247454,Martin Ødegaard
148503,Ollie Watkins
362824,Morgan Rogers
322670,Ismaïla Sarr
374631,Marc Guéhi
425142,Kaoru Mitoma
342889,Matt O'Riley
362433,Georginio Rutter
408962,Manuel Ugarte
69344,Christian Eriksen
326413,Kai Havertz
136345,Youri Tielemans
89925,Lucas Digne
322043,Matty Cash
400828,Darwin Núñez
318871,Trent Alexander-Arnold
363982,Harvey Elliott
363686,Emile Smith Rowe
297395,Sasa Lukic
140088,Adama Traoré
333044,Harry Wilson
430294,Lewis Hall
422183,Dango Ouattara
315275,Tyler Adams
351127,Konstantinos Mavropanos
141469,Dominic Calvert-Lewin
80464,Idrissa Gueye
366116,Iliman Ndiaye
429922,Archie Gray
355855,Dejan Kulusevski
317804,Richarlison
526481,Mikey Moore
93894,Mateo Kovacic
388098,Jérémy Doku
425576,James McAtee
484175,Yankuba Minteh
402596,Elliot Anderson
315543,Ola Aina
136742,Jan Bednarek
404616,Lesley Ugochukwu
122182,Paul Onuachu
447231,Mateus Fernandes
136464,Tosin Adarabioyo
94042,Matt Doherty
363496,Marc Cucurella
391256,Kiernan Dewsbury-Hall
389935,Noni Madueke
353292,Trevoh Chalobah
344314,Marcus Tavernier
369875,Dominik Szoboszlai
345957,Ibrahima Konaté
381161,Jacob Greaves
417747,Julio Enciso
402664,Josko Gvardiol
394933,Matheus Nunes
121774,Ederson
148474,James Bree
343501,Sandro Tonali
467918,Myles Lewis-Skelly
403693,João Gomes
386519,Riccardo Calafiori
369813,Jacob Ramsey
101955,Emerson
322696,Edson Álvarez
469485,Romain Esse
400496,Daniel Muñoz
106981,Jamie Vardy
134332,Bobby De Cordova-Reid
433572,Bilal El Khannouss
355354,Curtis Jones
116317,Abdoulaye Doucouré
110189,Jordan Pickford
380546,Beto
131464,James Tarkowski
367781,James Garner
342877,Joe Aribo
403649,Rodrigo Muniz
243254,Andreas Pereira
86441,Lewis Dunk
386969,Neco Williams
328075,Ibrahim Sangaré
444826,Jota Silva
320242,Jean-Ricner Bellegarde
94868,Pablo Sarabia
362758,Matheus Cunha
238940,Thomas Partey
332325,Declan Rice
298689,Vitaly Janelt
403859,Pape Matar Sarr
322596,Jarrod Bowen
337916,Pedro Neto
381045,Jarrad Branthwaite
416208,Tim Iroegbunam
400138,Bart Verbruggen
39308,Danny Welbeck
299271,Axel Tuanzebe
430908,Omari Hutchinson
391348,Charly Alcaraz
396976,Calvin Bassey
394749,Omar Marmoush
77464,Ilkay Gündogan
422135,Kamaldeen Sulemana
377168,Luis Díaz
137015,James Maddison
401385,Fábio Carvalho
369430,Enzo Fernández
137467,Marco Asensio
300299,Marcus Rashford
399826,Illia Zabarnyi
377411,Marshall Munetsi
231135,Joachim Andersen
379688,Brennan Johnson
363516,Jack Clarke
362219,Djed Spence
407154,Dane Scarlett
469629,Jack Hinshelwood
471784,Brajan Gruda
474264,Lewis Miley
342563,Joe Willock
319785,Nikola Milenkovic
342830,Ryan Yates
300945,Christopher Nkunku
421351,Levi Colwill
523597,Tyrique George
345845,Eddie Nketiah
389579,Tyrick Mitchell
322611,Ryan Sessegnon
296363,Nélson Semedo
424495,Jake O'Brien
345516,Vitalii Mykolenko
411335,Jaden Philogene
134666,Sam Morsy
320374,Matthijs de Ligt
495260,Patrick Dorgu
99487,Harry Maguire
87182,Jannik Vestergaard
